Time,HR (bpm),Cadence,Temperatures (C)
00:06:11,156,98,29.1
00:06:12,156,97,29.1
00:06:13,156,97,29.3
00:06:14,157,98,29.1
00:06:15,157,98,29.2
00:06:16,158,98,29.2
00:06:17,158,99,29.2
00:06:18,159,99,29.2
00:06:19,159,98,29.2
00:06:22,159,99,29.2
00:06:23,159,99,29.3
00:06:24,159,100,29.3
00:06:25,160,100,29.3
00:06:26,160,99,29.2
00:06:27,160,100,29.4
00:06:28,160,99,29.4
00:06:29,160,100,29.4
00:06:30,160,100,29.4
00:06:31,160,100,29.4
00:06:32,160,99,29.3
00:06:33,160,99,29.4
00:06:34,160,98,29.4
00:06:35,160,100,29.4
00:06:36,161,101,29.4
00:06:37,161,101,29.4
00:06:38,161,100,29.4
00:06:39,161,99,29.4
00:06:40,161,99,29.5
00:06:41,161,99,29.5
00:06:42,161,99,29.5
00:06:43,161,98,29.4
00:06:44,161,99,29.5
00:06:45,161,97,29.5
00:06:46,161,98,29.5
00:06:47,161,98,29.5
00:06:48,161,97,29.5
00:06:49,161,99,29.5
00:06:50,161,99,29.5
00:06:51,161,97,29.5
00:06:52,161,99,29.5
00:06:53,161,100,29.5
00:06:54,162,99,29.5
00:06:55,162,100,29.5
00:06:56,162,98,29.5
00:06:57,162,100,29.5
00:06:58,162,101,29.5
00:06:59,163,100,29.6
00:07:00,163,101,29.5
00:07:01,163,102,29.5
00:07:02,163,101,29.6
00:07:03,164,102,29.5
00:07:04,164,102,29.6
00:07:05,164,102,29.6
00:07:06,164,102,29.6
00:07:07,164,101,29.6
00:07:08,164,102,29.7
00:07:09,164,102,29.6
00:07:10,164,102,29.6
00:07:11,164,103,29.6
00:07:12,164,102,29.6
00:07:13,164,103,29.6
00:07:14,164,103,29.6
00:07:15,164,102,29.6
00:07:16,164,102,29.8
00:07:17,164,102,29.7
00:07:18,164,102,29.7
00:07:19,164,100,29.8
00:07:20,164,98,29.8
00:07:21,164,101,29.8
00:07:22,164,101,29.8
00:07:23,165,100,29.8
00:07:24,165,101,29.8
00:07:25,165,100,29.8
00:07:26,165,99,29.9
00:07:29,165,102,29.8
00:07:30,165,103,29.9
00:07:31,165,101,29.9
00:07:32,165,101,29.9
00:07:33,165,102,29.9
00:07:34,165,100,29.9
00:07:35,165,100,30.0
00:07:36,165,103,30.0
00:07:37,165,102,29.9
00:07:38,166,102,30.0
00:07:39,166,102,30.0
00:07:40,166,103,30.0
00:07:41,166,101,29.9
00:07:42,166,102,30.0
00:07:43,167,103,30.0
00:07:44,167,101,30.0
00:07:45,167,102,30.0
00:07:46,167,101,30.0
00:07:47,167,100,30.0
00:07:48,167,98,30.0
00:07:49,168,98,30.1
00:07:50,168,101,30.0
00:07:51,168,100,30.1
00:07:52,168,100,30.1
00:07:53,167,100,30.1
00:08:00,167,100,30.2
00:08:01,167,100,30.1
00:08:02,167,97,30.2
00:08:03,167,96,30.3
00:08:04,167,90,30.2
00:08:05,168,89,30.3
00:08:06,168,86,30.2
00:08:07,168,84,30.2
00:08:08,169,82,30.3
00:08:09,169,81,30.3
00:08:10,169,79,30.2
00:08:11,170,77,30.3
00:08:12,170,77,30.3
00:08:13,170,77,30.3
00:08:14,171,79,30.4
00:08:15,171,79,30.3
00:08:16,171,78,30.3
00:08:17,171,77,30.3
00:08:18,172,77,30.4
00:08:19,172,78,30.3
00:08:20,172,77,30.4
00:08:21,172,77,30.4
00:08:22,172,77,30.4
00:08:23,172,76,30.4
00:08:24,172,77,30.5
00:08:25,172,75,30.5
00:08:26,173,75,30.5
00:08:27,173,76,30.5
00:08:28,173,76,30.5
00:08:29,173,75,30.5
00:08:30,173,75,30.5
00:08:31,173,75,30.5
00:08:32,173,78,30.5
00:08:33,173,80,30.5
00:08:34,173,81,30.5
00:08:35,173,80,30.5
00:08:36,174,80,30.5
00:08:37,174,80,30.6
00:08:38,174,80,30.6
00:08:39,174,79,30.5
00:08:40,174,78,30.6
00:08:41,174,78,30.5
00:08:42,174,78,30.6
00:08:43,175,78,30.6
00:08:44,175,76,30.6
00:08:45,175,76,30.6
00:08:46,175,77,30.6
00:08:47,175,76,30.6
00:08:48,175,77,30.6
00:08:49,175,77,30.6
00:08:50,175,76,30.6
00:08:51,175,76,30.7
00:09:03,175,94,30.8
00:09:04,175,93,30.8
00:09:05,175,92,30.8
00:09:06,175,91,30.9
00:09:07,175,92,30.8
00:09:08,175,91,30.9
00:09:09,175,91,30.9
00:09:10,175,89,30.8
00:09:11,175,90,30.9
00:09:12,175,89,30.8
00:09:13,175,90,30.9
00:09:14,175,89,30.9
00:09:15,175,90,30.9
00:09:16,175,90,30.9
00:09:17,175,89,30.9
00:09:18,175,90,30.9
00:09:19,174,89,30.9
00:09:20,174,90,30.9
00:09:21,174,90,30.9
00:09:22,174,90,31.0
00:09:23,174,90,30.9
00:09:24,174,90,31.0
00:09:25,174,91,30.9
00:09:26,174,90,31.0
00:09:27,174,91,31.0
00:09:28,174,90,31.0
00:09:29,174,90,30.9
00:09:30,174,89,30.9
00:09:31,173,91,31.0
00:09:32,173,90,30.9
00:09:33,173,91,30.9
00:09:34,173,90,30.9
00:09:35,173,92,30.9
00:09:36,173,91,31.0
00:09:37,173,90,31.0
00:09:38,173,91,31.0
00:09:39,173,89,31.0
00:09:40,173,90,31.0
00:09:41,173,90,30.9
00:09:42,173,91,31.0
00:09:43,173,90,31.0
00:09:44,173,91,30.9
00:09:45,172,90,31.0
00:09:46,172,90,31.0
00:09:47,172,90,31.0
00:09:48,172,90,31.0
00:09:49,172,90,31.0
00:09:50,172,89,31.0
00:09:51,172,91,31.0
00:09:52,172,90,31.0
00:09:53,172,91,31.0
00:09:54,172,90,31.0
00:09:55,172,91,31.0
00:09:56,172,90,31.0
00:09:57,171,91,31.1
00:09:58,171,90,31.0
00:09:59,171,92,31.0
00:10:00,171,91,31.0
00:10:01,171,92,31.0
00:10:02,171,92,31.0
00:10:03,170,91,31.0
00:10:04,170,92,31.0
00:10:05,170,91,31.0
00:10:06,170,90,31.0
00:10:07,170,91,31.1
00:10:08,170,90,31.1
00:10:09,170,91,31.0
00:10:10,170,90,31.0
00:10:11,169,91,31.1
00:10:12,169,90,31.0
00:10:13,169,92,31.1
00:10:14,169,91,31.1
00:10:15,169,91,31.1
00:10:16,169,92,31.1
00:10:17,169,92,31.1
00:10:18,169,93,31.1
00:10:19,169,92,31.1
00:10:20,169,93,31.2
00:10:21,170,91,31.1
00:10:22,170,92,31.1
00:10:23,170,91,31.1
00:10:24,170,92,31.3
00:10:25,170,91,31.3
00:10:26,170,92,31.3
00:10:27,170,91,31.2
00:10:28,170,92,31.3
00:10:29,170,92,31.3
00:10:30,171,92,31.1
00:10:31,171,93,31.3
00:10:32,171,92,31.3
00:10:33,171,93,31.3
00:10:34,171,92,31.1
00:10:35,171,93,31.3
00:10:36,171,92,31.4
00:10:37,172,93,31.3
00:10:38,172,93,31.3
00:10:39,172,93,31.4
00:10:40,172,93,31.3
00:10:41,172,92,31.4
00:10:42,172,92,31.4
00:10:43,172,92,31.3
00:10:44,172,92,31.4
00:10:45,172,92,31.4
00:10:46,173,92,31.3
00:10:47,172,92,31.4
00:10:48,173,91,31.4
00:10:49,173,92,31.4
00:10:50,173,91,31.4
00:10:51,173,91,31.4
00:10:52,173,91,31.4
00:10:53,173,91,31.4
00:10:54,173,91,31.5
00:10:55,173,91,31.4
00:10:56,173,91,31.4
00:10:57,173,91,31.6
00:10:58,173,91,31.5
00:10:59,173,91,31.5
00:11:00,173,90,31.5
00:11:01,173,87,31.5
00:11:02,173,82,31.5
00:11:03,173,81,31.5
00:11:04,173,80,31.5
00:11:05,173,79,31.5
00:11:06,173,77,31.5
00:11:07,173,76,31.5
00:11:08,174,75,31.5
00:11:09,174,74,31.5
00:11:10,174,74,31.5
00:11:11,175,73,31.6
00:11:12,175,72,31.5
00:11:13,175,71,31.5
00:11:14,176,71,31.6
00:11:15,176,70,31.6
00:11:16,176,70,31.6
00:11:17,176,71,31.7
00:11:18,177,71,31.7
00:11:19,177,71,31.5
00:11:20,177,72,31.7
00:11:21,177,72,31.8
00:11:22,177,73,31.8
00:11:23,177,74,31.8
00:11:24,177,73,31.8
00:11:25,177,74,31.7
00:11:26,177,74,31.8
00:11:27,177,73,31.8
00:11:28,177,73,31.7
00:11:29,177,73,31.8
00:11:30,177,74,31.9
00:11:31,177,74,31.9
00:11:32,177,74,31.9
00:11:33,177,75,31.8
00:11:34,177,77,31.8
00:11:35,177,78,31.9
00:11:36,177,77,31.8
00:11:37,178,76,32.0
00:11:38,178,75,31.9
00:11:39,178,75,31.9
00:11:40,178,73,31.9
00:11:41,178,73,32.0
00:11:42,178,74,31.9
00:11:43,178,73,31.9
00:11:44,178,73,31.9
00:11:49,178,75,32.0
00:11:50,178,74,31.9
00:11:51,178,74,31.9
00:11:52,178,73,32.0
00:11:53,178,74,31.9
00:11:54,178,73,32.0
00:11:55,178,72,32.0
00:11:56,178,72,32.0
00:11:57,178,72,32.1
00:11:58,178,72,32.0
00:11:59,178,73,32.0
00:12:00,178,79,32.0
00:12:01,177,83,32.0
00:12:02,177,88,32.1
00:12:03,177,88,32.0
00:12:04,177,89,32.0
00:12:05,177,88,32.1
00:12:06,177,88,32.0
00:12:07,177,88,32.0
00:12:08,177,87,32.0
00:12:09,177,88,32.0
00:12:10,177,88,32.2
00:12:11,177,87,32.2
00:12:12,177,88,32.2
00:12:13,177,88,32.2
00:12:14,177,88,32.1
00:12:15,177,89,32.2
00:12:16,177,89,32.2
00:12:17,177,88,32.2
00:12:18,177,89,32.2
00:12:19,177,88,32.2
00:12:20,176,88,32.2
00:12:21,176,89,32.2
00:12:22,176,90,32.2
00:12:23,175,90,32.2
00:12:24,175,89,32.2
00:12:25,175,90,32.3
00:12:26,175,89,32.2
00:12:27,175,91,32.3
00:12:28,174,90,32.2
00:12:29,174,91,32.3
00:12:30,174,90,32.2
00:12:31,174,92,32.3
00:12:32,174,91,32.2
00:12:36,174,90,32.3
00:12:37,174,92,32.3
00:12:38,174,90,32.3
00:12:39,173,90,32.3
00:12:40,173,90,32.3
00:12:41,173,89,32.3
00:12:42,173,89,32.3
00:12:43,173,89,32.3
00:12:44,172,89,32.3
00:12:45,172,89,32.3
00:12:46,172,88,32.3
00:12:47,172,89,32.3
00:12:48,172,89,32.3
00:12:49,172,91,32.3
00:12:50,172,90,32.3
00:12:51,172,90,32.3
00:12:52,172,90,32.3
00:12:53,172,89,32.3
00:12:54,172,90,32.3
00:12:55,172,90,32.3
00:12:56,172,90,32.3
00:12:57,172,89,32.3
00:12:58,172,89,32.3
00:12:59,172,90,32.3
00:13:00,172,88,32.3
00:13:01,172,88,32.3
00:13:02,173,87,32.3
00:13:03,172,83,32.3
00:13:04,173,80,32.5
00:13:05,173,78,32.4
00:13:06,173,75,32.3
00:13:07,173,74,32.5
00:13:08,173,74,32.4
00:13:09,173,74,32.3
00:13:10,174,72,32.5
00:13:11,174,71,32.3
00:13:12,174,72,32.3
00:13:13,174,71,32.5
00:13:14,175,72,32.5
00:13:15,175,70,32.5
00:13:16,175,42,32.5
00:13:17,175,57,32.5
00:13:18,175,64,32.5
00:13:19,176,69,32.5
00:13:20,176,71,32.5
00:13:21,176,70,32.5
00:13:22,176,70,32.6
00:13:23,176,70,32.6
00:13:24,176,71,32.7
00:13:25,176,72,32.7
00:13:26,176,72,32.5
00:13:27,176,71,32.6
00:13:28,176,71,32.6
00:13:29,176,71,32.5
00:13:30,177,71,32.7
00:13:31,177,72,32.7
00:13:32,177,72,32.8
00:13:33,177,73,32.6
00:13:34,177,73,32.7
00:13:35,177,75,32.7
00:13:36,177,75,32.7
00:13:37,178,76,32.7
00:13:38,178,76,32.7
00:13:39,178,74,32.7
00:13:40,178,73,32.7
00:13:41,178,73,32.7
00:13:45,178,71,32.6
00:13:46,178,71,32.7
00:13:47,178,70,32.8
00:13:48,178,71,32.8
00:13:49,178,72,32.8
00:13:50,178,72,32.8
00:13:51,178,72,32.8
00:13:52,178,72,32.8
00:13:53,178,72,32.8
00:13:54,178,71,32.8
00:13:55,178,72,32.8
00:13:56,178,71,32.8
00:13:57,178,72,32.8
00:13:58,178,71,32.8
00:13:59,178,74,32.8
00:14:00,178,79,32.9
00:14:01,178,86,32.8
00:14:02,178,87,32.9
00:14:03,178,88,32.9
00:14:04,178,88,32.9
00:14:05,178,87,32.9
00:14:06,178,86,32.9
00:14:07,178,86,32.8
00:14:08,178,87,32.9
00:14:09,178,86,32.9
00:14:10,178,86,32.9
00:14:11,178,87,32.9
00:14:12,178,87,32.9
00:14:13,178,85,32.8
00:14:14,178,84,33.0
00:14:15,178,83,33.0
00:14:16,178,83,32.9
00:14:17,177,83,33.0
00:14:18,178,84,32.9
00:14:19,178,83,32.9
00:14:20,177,83,33.0
00:14:21,177,83,33.0
00:14:22,177,82,33.0
00:14:23,177,82,33.0
00:14:24,177,82,32.9
00:14:25,177,82,33.0
00:14:26,176,82,32.9
00:14:27,176,43,32.9
00:14:28,176,43,32.9
00:14:29,176,43,33.0
00:14:30,176,79,32.9
00:14:31,176,80,32.9
00:14:32,176,81,33.0
00:14:33,176,81,32.9
00:14:34,175,81,33.0
00:14:35,175,81,32.9
00:14:36,175,80,33.0
00:14:37,175,81,32.9
00:14:38,175,81,33.0
00:14:39,175,81,33.0
00:14:40,175,81,33.0
00:14:41,175,80,33.0
00:14:42,174,81,33.0
00:14:43,174,81,33.0
00:14:44,174,82,32.9
00:14:45,174,82,33.0
00:14:46,174,83,33.0
00:14:47,174,83,33.0
00:14:48,174,83,33.0
00:14:49,174,84,33.0
00:14:50,174,82,33.0
00:14:51,174,81,33.0
00:14:52,174,81,33.1
00:14:53,174,81,33.1
00:14:54,174,82,33.0
00:14:55,174,82,33.1
00:14:56,174,82,33.1
00:14:57,174,82,33.1
00:14:58,174,81,33.0
00:14:59,174,80,33.0
00:15:00,174,79,33.1
00:15:01,174,76,33.1
00:15:02,174,73,33.2
00:15:03,174,72,33.0
00:15:04,174,70,33.0
00:15:05,174,69,33.1
00:15:06,174,69,33.2
00:15:07,174,69,33.1
00:15:08,174,68,33.2
00:15:09,174,67,33.2
00:15:10,174,68,33.1
00:15:11,174,68,33.2
00:15:12,175,67,33.3
00:15:13,175,66,33.2
00:15:14,175,66,33.3
00:15:15,175,66,33.2
00:15:16,175,66,33.3
00:15:17,175,67,33.3
00:15:18,176,67,33.2
00:15:19,176,68,33.3
00:15:20,176,68,33.2
00:15:21,176,69,33.3
00:15:22,176,68,33.3
00:15:23,176,68,33.3
00:15:24,176,68,33.3
00:15:25,176,68,33.3
00:15:26,176,67,33.3
00:15:27,177,67,33.3
00:15:28,177,72,33.4
00:15:29,177,74,33.3
00:15:30,177,71,33.4
00:15:31,177,69,33.3
00:15:32,178,68,33.4
00:15:33,178,67,33.4
00:15:34,178,66,33.4
00:15:35,178,66,33.4
00:15:36,178,66,33.5
00:15:37,178,65,33.5
00:15:38,179,64,33.4
00:15:39,179,65,33.5
00:15:40,179,67,33.5
00:15:41,179,69,33.4
00:15:42,179,70,33.6
00:15:43,179,69,33.5
00:15:44,179,70,33.5
00:15:45,179,70,33.5
00:15:46,179,71,33.3
00:15:47,179,72,33.5
00:15:48,179,72,33.5
00:15:49,179,73,33.5
00:15:50,179,72,33.5
00:15:51,179,71,33.5
00:15:52,179,71,33.5
00:15:53,179,70,33.6
00:15:54,179,69,33.5
00:15:55,179,69,33.5
00:15:56,179,70,33.6
00:15:57,179,70,33.7
00:15:58,179,70,33.5
00:15:59,179,70,33.7
00:16:00,179,71,33.5
00:16:01,179,79,33.5
00:16:02,179,84,33.7
00:16:03,179,88,33.7
00:16:04,179,88,33.7
00:16:05,179,89,33.7
00:16:06,179,88,33.7
00:16:07,179,88,33.7
00:16:08,180,89,33.7
00:16:09,180,93,33.6
00:16:10,180,95,33.7
00:16:11,180,95,33.7
00:16:12,180,93,33.7
00:16:13,180,93,33.7
00:16:14,181,91,33.7
00:16:15,181,92,33.7
00:16:16,181,95,33.7
00:16:17,181,98,33.7
00:16:18,181,98,33.7
00:16:19,182,98,33.6
00:16:20,182,98,33.7
00:16:21,182,96,33.7
00:16:22,182,96,33.6
00:16:23,182,94,33.5
00:16:24,182,92,33.7
00:16:25,182,93,33.7
00:16:26,182,92,33.7
00:16:27,182,94,33.5
00:16:28,182,94,33.5
00:16:29,182,94,33.5
00:16:30,182,95,33.5
00:16:31,182,95,33.7
00:16:32,182,95,33.7
00:16:33,182,92,33.7
00:16:34,182,45,33.7
00:16:35,182,45,33.7
00:16:36,182,45,33.6
00:16:37,182,90,33.7
00:16:38,182,92,33.7
00:16:39,182,93,33.7
00:16:40,182,93,33.7
00:16:41,182,93,33.6
00:16:42,182,95,33.7
00:16:43,182,104,33.6
00:16:44,182,113,33.7
00:16:45,182,121,33.6
00:16:46,182,125,33.7
00:16:47,182,125,33.7
00:16:48,182,125,33.7
00:16:49,183,125,33.7
00:16:50,183,128,33.7
00:16:51,183,131,33.7
00:16:52,183,129,33.7
00:16:53,184,130,33.8
00:16:54,184,133,33.8
00:16:55,184,131,33.8
00:16:56,184,132,33.8
00:16:57,185,130,33.8
00:16:58,185,127,33.8
00:16:59,185,123,33.8
00:17:00,185,107,33.8
00:17:01,186,46,33.8
00:17:02,186,47,33.8
00:17:03,186,50,33.8
00:17:04,186,50,33.8
00:17:05,186,45,33.9
00:17:06,185,48,33.8
00:17:07,185,54,33.8
00:17:08,185,64,33.8
00:17:09,185,66,33.8
00:17:10,184,69,33.8
00:17:11,184,70,33.8
00:17:12,184,71,33.8
00:17:13,184,72,33.8
00:17:14,183,73,34.0
00:17:15,183,73,33.9
00:17:16,182,42,33.8
00:17:17,182,42,33.8
00:17:18,182,42,33.8
00:17:19,181,73,33.8
